Acorn,Date,Conso_kWh_predict
ACORN-O,2014-01-13,
ACORN-O,2014-01-14,
ACORN-O,2014-01-15,
ACORN-O,2014-01-16,
ACORN-O,2014-01-17,
ACORN-O,2014-01-18,
ACORN-O,2014-01-19,
ACORN-O,2014-01-20,
ACORN-O,2014-01-21,
ACORN-O,2014-01-22,
ACORN-O,2014-01-23,
ACORN-O,2014-01-24,
ACORN-O,2014-01-25,
ACORN-O,2014-01-26,
ACORN-O,2014-01-27,
ACORN-O,2014-01-28,
ACORN-O,2014-01-29,
ACORN-O,2014-01-30,
ACORN-O,2014-01-31,
ACORN-O,2014-02-01,
ACORN-O,2014-02-02,
ACORN-O,2014-02-03,
ACORN-O,2014-02-04,
ACORN-O,2014-02-05,
ACORN-O,2014-02-06,
ACORN-O,2014-02-07,
ACORN-O,2014-02-08,
ACORN-O,2014-02-09,
ACORN-O,2014-02-10,
ACORN-O,2014-02-11,
ACORN-O,2014-02-12,
ACORN-O,2014-02-13,
ACORN-A,2014-01-13,
ACORN-A,2014-01-14,
ACORN-A,2014-01-15,
ACORN-A,2014-01-16,
ACORN-A,2014-01-17,
ACORN-A,2014-01-18,
ACORN-A,2014-01-19,
ACORN-A,2014-01-20,
ACORN-A,2014-01-21,
ACORN-A,2014-01-22,
ACORN-A,2014-01-23,
ACORN-A,2014-01-24,
ACORN-A,2014-01-25,
ACORN-A,2014-01-26,
ACORN-A,2014-01-27,
ACORN-A,2014-01-28,
ACORN-A,2014-01-29,
ACORN-A,2014-01-30,
ACORN-A,2014-01-31,
ACORN-A,2014-02-01,
ACORN-A,2014-02-02,
ACORN-A,2014-02-03,
ACORN-A,2014-02-04,
ACORN-A,2014-02-05,
ACORN-A,2014-02-06,
ACORN-A,2014-02-07,
ACORN-A,2014-02-08,
ACORN-A,2014-02-09,
ACORN-A,2014-02-10,
ACORN-A,2014-02-11,
ACORN-A,2014-02-12,
ACORN-A,2014-02-13,
ACORN-J,2014-01-13,
ACORN-J,2014-01-14,
ACORN-J,2014-01-15,
ACORN-J,2014-01-16,
ACORN-J,2014-01-17,
ACORN-J,2014-01-18,
ACORN-J,2014-01-19,
ACORN-J,2014-01-20,
ACORN-J,2014-01-21,
ACORN-J,2014-01-22,
ACORN-J,2014-01-23,
ACORN-J,2014-01-24,
ACORN-J,2014-01-25,
ACORN-J,2014-01-26,
ACORN-J,2014-01-27,
ACORN-J,2014-01-28,
ACORN-J,2014-01-29,
ACORN-J,2014-01-30,
ACORN-J,2014-01-31,
ACORN-J,2014-02-01,
ACORN-J,2014-02-02,
ACORN-J,2014-02-03,
ACORN-J,2014-02-04,
ACORN-J,2014-02-05,
ACORN-J,2014-02-06,
ACORN-J,2014-02-07,
ACORN-J,2014-02-08,
ACORN-J,2014-02-09,
ACORN-J,2014-02-10,
ACORN-J,2014-02-11,
ACORN-J,2014-02-12,
ACORN-J,2014-02-13,
