Acorn,Date,Conso_kWh_predict
ACORN-O,2014-01-13,
ACORN-O,2014-01-14,
ACORN-O,2014-01-15,
ACORN-O,2014-01-16,
ACORN-O,2014-01-17,
ACORN-O,2014-01-18,
ACORN-O,2014-01-19,
ACORN-O,2014-01-20,
ACORN-O,2014-01-21,
ACORN-O,2014-01-22,
ACORN-O,2014-01-23,
ACORN-O,2014-01-24,
ACORN-O,2014-01-25,
ACORN-O,2014-01-26,
ACORN-O,2014-01-27,
ACORN-O,2014-01-28,
ACORN-O,2014-01-29,
ACORN-O,2014-01-30,
ACORN-O,2014-01-31,
ACORN-O,2014-02-01,
ACORN-O,2014-02-02,
ACORN-O,2014-02-03,
ACORN-O,2014-02-04,
ACORN-O,2014-02-05,
ACORN-O,2014-02-06,
ACORN-O,2014-02-07,
ACORN-O,2014-02-08,
ACORN-O,2014-02-09,
ACORN-O,2014-02-10,
ACORN-O,2014-02-11,
ACORN-O,2014-02-12,
ACORN-O,2014-02-13,
ACORN-E,2014-01-13,
ACORN-E,2014-01-14,
ACORN-E,2014-01-15,
ACORN-E,2014-01-16,
ACORN-E,2014-01-17,
ACORN-E,2014-01-18,
ACORN-E,2014-01-19,
ACORN-E,2014-01-20,
ACORN-E,2014-01-21,
ACORN-E,2014-01-22,
ACORN-E,2014-01-23,
ACORN-E,2014-01-24,
ACORN-E,2014-01-25,
ACORN-E,2014-01-26,
ACORN-E,2014-01-27,
ACORN-E,2014-01-28,
ACORN-E,2014-01-29,
ACORN-E,2014-01-30,
ACORN-E,2014-01-31,
ACORN-E,2014-02-01,
ACORN-E,2014-02-02,
ACORN-E,2014-02-03,
ACORN-E,2014-02-04,
ACORN-E,2014-02-05,
ACORN-E,2014-02-06,
ACORN-E,2014-02-07,
ACORN-E,2014-02-08,
ACORN-E,2014-02-09,
ACORN-E,2014-02-10,
ACORN-E,2014-02-11,
ACORN-E,2014-02-12,
ACORN-E,2014-02-13,
ACORN-G,2014-01-13,
ACORN-G,2014-01-14,
ACORN-G,2014-01-15,
ACORN-G,2014-01-16,
ACORN-G,2014-01-17,
ACORN-G,2014-01-18,
ACORN-G,2014-01-19,
ACORN-G,2014-01-20,
ACORN-G,2014-01-21,
ACORN-G,2014-01-22,
ACORN-G,2014-01-23,
ACORN-G,2014-01-24,
ACORN-G,2014-01-25,
ACORN-G,2014-01-26,
ACORN-G,2014-01-27,
ACORN-G,2014-01-28,
ACORN-G,2014-01-29,
ACORN-G,2014-01-30,
ACORN-G,2014-01-31,
ACORN-G,2014-02-01,
ACORN-G,2014-02-02,
ACORN-G,2014-02-03,
ACORN-G,2014-02-04,
ACORN-G,2014-02-05,
ACORN-G,2014-02-06,
ACORN-G,2014-02-07,
ACORN-G,2014-02-08,
ACORN-G,2014-02-09,
ACORN-G,2014-02-10,
ACORN-G,2014-02-11,
ACORN-G,2014-02-12,
ACORN-G,2014-02-13,
