Acorn,Date,Conso_kWh_predict
ACORN-N,2014-01-13,
ACORN-N,2014-01-14,
ACORN-N,2014-01-15,
ACORN-N,2014-01-16,
ACORN-N,2014-01-17,
ACORN-N,2014-01-18,
ACORN-N,2014-01-19,
ACORN-N,2014-01-20,
ACORN-N,2014-01-21,
ACORN-N,2014-01-22,
ACORN-N,2014-01-23,
ACORN-N,2014-01-24,
ACORN-N,2014-01-25,
ACORN-N,2014-01-26,
ACORN-N,2014-01-27,
ACORN-N,2014-01-28,
ACORN-N,2014-01-29,
ACORN-N,2014-01-30,
ACORN-N,2014-01-31,
ACORN-N,2014-02-01,
ACORN-N,2014-02-02,
ACORN-N,2014-02-03,
ACORN-N,2014-02-04,
ACORN-N,2014-02-05,
ACORN-N,2014-02-06,
ACORN-N,2014-02-07,
ACORN-N,2014-02-08,
ACORN-N,2014-02-09,
ACORN-N,2014-02-10,
ACORN-N,2014-02-11,
ACORN-N,2014-02-12,
ACORN-N,2014-02-13,
ACORN-D,2014-01-13,
ACORN-D,2014-01-14,
ACORN-D,2014-01-15,
ACORN-D,2014-01-16,
ACORN-D,2014-01-17,
ACORN-D,2014-01-18,
ACORN-D,2014-01-19,
ACORN-D,2014-01-20,
ACORN-D,2014-01-21,
ACORN-D,2014-01-22,
ACORN-D,2014-01-23,
ACORN-D,2014-01-24,
ACORN-D,2014-01-25,
ACORN-D,2014-01-26,
ACORN-D,2014-01-27,
ACORN-D,2014-01-28,
ACORN-D,2014-01-29,
ACORN-D,2014-01-30,
ACORN-D,2014-01-31,
ACORN-D,2014-02-01,
ACORN-D,2014-02-02,
ACORN-D,2014-02-03,
ACORN-D,2014-02-04,
ACORN-D,2014-02-05,
ACORN-D,2014-02-06,
ACORN-D,2014-02-07,
ACORN-D,2014-02-08,
ACORN-D,2014-02-09,
ACORN-D,2014-02-10,
ACORN-D,2014-02-11,
ACORN-D,2014-02-12,
ACORN-D,2014-02-13,
ACORN-J,2014-01-13,
ACORN-J,2014-01-14,
ACORN-J,2014-01-15,
ACORN-J,2014-01-16,
ACORN-J,2014-01-17,
ACORN-J,2014-01-18,
ACORN-J,2014-01-19,
ACORN-J,2014-01-20,
ACORN-J,2014-01-21,
ACORN-J,2014-01-22,
ACORN-J,2014-01-23,
ACORN-J,2014-01-24,
ACORN-J,2014-01-25,
ACORN-J,2014-01-26,
ACORN-J,2014-01-27,
ACORN-J,2014-01-28,
ACORN-J,2014-01-29,
ACORN-J,2014-01-30,
ACORN-J,2014-01-31,
ACORN-J,2014-02-01,
ACORN-J,2014-02-02,
ACORN-J,2014-02-03,
ACORN-J,2014-02-04,
ACORN-J,2014-02-05,
ACORN-J,2014-02-06,
ACORN-J,2014-02-07,
ACORN-J,2014-02-08,
ACORN-J,2014-02-09,
ACORN-J,2014-02-10,
ACORN-J,2014-02-11,
ACORN-J,2014-02-12,
ACORN-J,2014-02-13,
